event_id,event_articles_count,event_representative_title,event_sources,event_industry,event_company,event_sources_count,citation_count,citation_index,citation_level
E0016,1,Илон Маск предложил в будущем напрямую распределять среди граждан средства из государственной казны.,"[""telegram:mislinemisli""]",экономика,,1,0,0.0,не растиражирована
E0017,1,Макро – week ahead⏪Новости российского макро прошлой недели• ЦБ снизил ключевую ставку на 25 бп до 14.,"[""telegram:xtxixty""]",экономика,,1,0,0.0,не растиражирована
E0018,1,"Наличие французского паспорта не спасёт от блокировки счета в банке тех, кто родился в России @banksta","[""telegram:banksta""]",экономика,,1,0,0.0,не растиражирована
E0019,1,⚠️🇨🇳🇺🇸#китай #сша #ограничения #торговля Китай вводит торговые ограничения в отношении десятков американских компаний в ответ на внесение их в черный список Пентагона.,"[""telegram:markettwits""]",политика,,1,0,0.0,не растиражирована
E0020,1,"🌕#золото #опрос Кол-во международных управляющих считающих, что золото сейчас переоценено упало до минимума за 2.","[""telegram:markettwits""]",металлургия,,1,0,0.0,не растиражирована
E0021,1,🇺🇸#акции #сша #прогноз Wells Fargo повысил прогноз по SP500 на конец 2026г до 7950 с 7300,"[""telegram:markettwits""]",экономика,,1,0,0.0,не растиражирована
E0022,3,С начала 2022 года совокупные активы компаний из недружественных стран в России уменьшились на 49% — с $481 млрд до $244 млрд к 2025–2026 годам.,"[""news.mail.ru"", ""ntv.ru"", ""telegram:markettwits""]",экономика,,3,2,50.0,низкая
E0023,1,"🗞🗞🗞🗞 Спрос на туристические поездки по России сокращается, как и глубина бронирования.","[""telegram:kommersant""]",транспорт,,1,0,0.0,не растиражирована
E0024,1,Совкомбанк открылся с гэпом +5.,"[""telegram:headlines_for_traders""]",экономика,,1,0,0.0,не растиражирована
E0025,6,"Более 50 человек пострадали, 18 пропали без вести в результате взрыва в промышленном городке Рас-Лаффан в Катаре, передает агентство Рейтер со ссылкой на МВД страны.","[""kolomna-spravka.ru"", ""news.mail.ru"", ""ria.ru"", ""telegram:bbbreaking"", ""telegram:kommersant""]",промышленность,,5,4,73.25,средняя
E0026,1,"🧱🧱🧱🧱 Крупнейшие российские IT-компании под кураторством ФСБ, Минцифры и ФСТЭК создают национальную систему подписи программного кода — она должна защитить софт от хакерских атак в случае, если западные центры сертификации вслед за сайтами начнут отзывать сертификаты и у программ.","[""telegram:rbc_news""]",политика,,1,0,0.0,не растиражирована
E0027,1,"🇨🇳 Народный банк Китая сохранил ключевую ставку на уровне 3% годовых, а пятилетнюю ставку – на уровне 3,5%.","[""telegram:frank_media""]",экономика,,1,0,0.0,не растиражирована
E0028,1,💱 Какой курс?,"[""telegram:selfinvestor""]",экономика,,1,0,0.0,не растиражирована
E0029,1,"⚡️Власти РФ отказались от полного запрета иностранных нейросетейКак пишут «Известия», IT-системы, уже использующие такие технологии, смогут работать на них как минимум до 2032 года.","[""telegram:bbbreaking""]",политика,,1,0,0.0,не растиражирована
E0030,1,"❌ Никаких альтернатив НСПКПо данным источников РБК, ЦБ отказал консорциуму Сбербанка, Альфа-Банка и Т-Банка в запуске альтернативной платежной системы.","[""telegram:marketoverview""]",телекоммуникации,,1,0,0.0,не растиражирована
E0031,1,"🛢🇪🇺#газ #спг #европа #азия ""Каждый сам за себя"": Европа предупредила о растущей конкуренции за энергоносители со стороны Азии -- Politico","[""telegram:markettwits""]",нефтегаз,,1,0,0.0,не растиражирована
E0032,1,"🇷🇺#авто #россия #отчетность НБКИ: в мае число выдач автокредитов за год увеличилось на 3,3% г/г","[""telegram:markettwits""]",экономика,,1,0,0.0,не растиражирована
E0033,1,"Три загруженных нефтяных танкера*, связанных с Индией, прошли через Ормузский пролив.","[""telegram:headlines_for_traders""]",нефтегаз,,1,0,0.0,не растиражирована
E0034,1,Стармер может принять решение об отставке в ближайшие дни.,"[""telegram:headlines_for_traders""]",потребительский сектор,,1,0,0.0,не растиражирована
E0035,3,"🏦 ЦБ не поддержал идею создания новой платежной системы крупнейшими банками По данным РБК, Банк России не разрешил Сберу, Альфа-банку и Т-Банку запустить совместный проект собственной платежной системы, которая могла бы стать дополнением или альтернативой НСПК.","[""telegram:frank_media"", ""telegram:marketpowercomics"", ""telegram:mislinemisli""]",экономика,,3,2,50.0,низкая
E0036,1,📌Ключевые события недели (22-28 июня 2026 г.,"[""telegram:vestifinance_ru""]",экономика,,1,0,0.0,не растиражирована
E0037,1,🇧🇷🇷🇺#дедолларизация #бразилия #россия #fxБразилия хочет использовать нацвалюты в расчетах с Россией — посол - РИА,"[""telegram:markettwits""]",политика,,1,0,0.0,не растиражирована
E0038,2,"Дата-центры искусственного интеллекта в Америке производят такой шум, что жители подают на них в суды.","[""eadaily.com"", ""telegram:stranaua""]",телекоммуникации,,2,1,31.55,низкая
E0039,1,#НефтянкаВ Банке России предложили ориентироваться на более консервативные оценки долгосрочной цены нефти при настройке бюджетного правила — Коммерсантъ В свежей аналитической записке регулятор оценивает устойчивую цену российской нефти Urals в диапазоне $54–72 за баррель.,"[""telegram:cbrstocks""]",нефтегаз,,1,0,0.0,не растиражирована
E0040,1,⚠️🇺🇸#дкп #сша #прогноз Оценка вероятности повышения ставки ФРС в этом году выросла на платформе на Kalshi до 55%,"[""telegram:markettwits""]",экономика,,1,0,0.0,не растиражирована
E0041,1,Правительство отказалось от запрета иностранного искусственного интеллекта.,"[""telegram:banksta""]",политика,,1,0,0.0,не растиражирована
E0042,1,"Темпы роста цен на квартиры в российских новостройках с апреля по июнь снизились до 0,2%.","[""telegram:rbc_news""]",недвижимость,,1,0,0.0,не растиражирована
E0043,1,📰 Эксклюзивные материалы свежего номера газеты «Коммерсантъ»:🔵 Ритейлеры добиваются от поставщиков снижения закупочных цен на яйца на четверть.,"[""telegram:kommersant""]",наука,,1,0,0.0,не растиражирована
E0044,1,"IPO ""РЖД"" и ""Wildberries"" в ближайшие годы принести до $477 млрд потенциальной капитализации российскому рынку.","[""telegram:headlines_for_traders""]",нефтегаз,РЖД,1,0,0.0,не растиражирована
E0045,1,"Как передать то, что с собой не заберешь?","[""telegram:bitkogan""]",экономика,,1,0,0.0,не растиражирована
E0046,1,Актёра Славу Копейкина признали негодным к службе в армии.,"[""telegram:mash""]",наука,,1,0,0.0,не растиражирована
E0047,1,"🇷🇺#ROLO #олово Русолово в 2029 г выведет на полную мощность Амурский металлургический комбинат Русолово к 2028 г увеличит мощности двух фабрик, Правоумийской и Солнечной в 1,6 раза Потребность РФ в олове к 2030 году составит 5,4 тыс.","[""telegram:markettwits""]",энергетика,,1,0,0.0,не растиражирована
E0048,1,🇺🇸#акции #облигации #сша Стремительно растет отрицательная корреляция между акциями США и доходностями гособлигаций — данные BBGчто указывает на рост чувствительности акций к ожиданиям повышения ставки Трейдеры активно ставят на повышение ставки ФРС в этом году — BBG,"[""telegram:markettwits""]",экономика,,1,0,0.0,не растиражирована
E0049,1,Фронтовая броня💌 Весточка с фронта!,"[""telegram:dva_majors""]",политика,,1,0,0.0,не растиражирована
E0050,1,❗️ Через 4 дня на Мосбирже истекает срок фьючерсного контракта NG-6.,"[""telegram:headlines_for_traders""]",экономика,,1,0,0.0,не растиражирована
E0051,1,🇷🇺На утренней сессии ММВБ главный российский индекс пробил в моменте уровень 2400 пунктов.,"[""telegram:vestifinance_ru""]",экономика,,1,0,0.0,не растиражирована
E0052,1,"🎙🎙🎙 «Каждый раз, когда я думал, что уже точно все видел, происходит еще что-то.","[""telegram:rbc_news""]",политика,,1,0,0.0,не растиражирована
E0053,1,🇷🇺🇮🇳#уголь #россия #индия Поставки энергетического угля из России в Индию выросли на 16% за пять месяцев — ЪИмпорт энергетического угля Индией упал до 4-летнего минимума на фоне роста производства экологически чистой электроэнергии — RTRS,"[""telegram:markettwits""]",нефтегаз,,1,0,0.0,не растиражирована
E0054,1,"💰 История о том, как Росимущество ЮГК продавало, подошла к концуРосимущество всё-таки продало активы ЮГК.","[""telegram:if_stocks""]",нефтегаз,РЖД,1,0,0.0,не растиражирована
E0055,1,💥🇯🇵#акции #япония NIKKEI = рекорд,"[""telegram:markettwits""]",политика,,1,0,0.0,не растиражирована
E0056,1,"Индекс Мосбиржи (IMOEX2) в ходе утренней сессии опускался ниже 2400 пунктов впервые с декабря 2024 года, следует из данных торгов.","[""telegram:kommersant""]",экономика,,1,0,0.0,не растиражирована
E0057,1,Индекс Мосбиржи пробил новое дно — ниже 2400 пунктов.,"[""telegram:bankrollo""]",экономика,,1,0,0.0,не растиражирована
E0058,2,Банк России отклонил проект банков по созданию альтернативной платёжной системы в дополнение к существующей Национальной системе платёжных карт.,"[""news.mail.ru"", ""telegram:banksta""]",экономика,,2,1,31.55,низкая
E0059,1,"💳 Примсоцбанк с 30 июня повышает комиссию на переводы в японских иенах:• 1,2% min ¥25.","[""telegram:marketoverview""]",экономика,,1,0,0.0,не растиражирована
E0060,1,"УТРЕННИЙ ДАЙДЖЕСТ Cbonds-GBI RU YTM 14,86% (⬆️13 б.","[""telegram:cbonds""]",экономика,,1,0,0.0,не растиражирована
E0061,1,👨‍🦯‍➡️Иностранный бизнес из недружественных стран с начала 2022 года резко сократил присутствие в России.,"[""telegram:vestifinance_ru""]",потребительский сектор,,1,0,0.0,не растиражирована
E0062,1,💥🇰🇷#000660KR Производитель чипов SK Hynix обогнал Samsung Electronics и стала самой дорогой компанией Южной Кореи,"[""telegram:markettwits""]",телекоммуникации,,1,0,0.0,не растиражирована
E0063,1,"Как и ожидалось, КНР сохранила ставку на уровне 3.","[""telegram:headlines_for_traders""]",экономика,,1,0,0.0,не растиражирована
E0064,1,"Китай ввел экспортный контроль против американских производителей редкоземельных металловКитай включил компании MP Materials, USA Rare Earth и еще восемь американских структур в список экспортного контроля в ответ на санкции Вашингтона против ряда технологических гигантов КНР(читать далее) 👉 pfs.","[""telegram:marketsnapshot""]",политика,,1,0,0.0,не растиражирована
E0065,1,✍🏻За чем мы следим 22 июня💱 Ключевая ставкаКонтекст: Банк России по итогам заседания 19 июня принял решение понизить ключевую ставку на 25 б.,"[""telegram:selfinvestor""]",экономика,,1,0,0.0,не растиражирована
E0066,1,"Бензин в Монголии стал дешевле, чем в России.","[""telegram:bankrollo""]",нефтегаз,,1,0,0.0,не растиражирована
E0067,1,Сергей Пирогов (про поведение толпы):18.,"[""telegram:headlines_for_traders""]",политика,,1,0,0.0,не растиражирована
E0068,1,диспозицияПолучается все печально 👉 за ростом цен на бензин - рост логистики и рост цен на товары.,"[""telegram:usertrader3""]",нефтегаз,,1,0,0.0,не растиражирована
E0069,1,"🟢 Фокус дня: собрание акционеров Мосбиржи🏦 Индекс Мосбиржи снизился на 1,4%.","[""telegram:sberinvestments""]",промышленность,,1,0,0.0,не растиражирована
E0070,1,"🚫🇮🇳#сахар #индия Индия, вероятно, не будет экспортировать сахар в течение многих лет из-за Эль-Ниньо и сокращения поставок этанола — RTRS","[""telegram:markettwits""]",сельское хозяйство,,1,0,0.0,не растиражирована
E0071,1,🇷🇺#VTBR WB банк запустил первый сервис кредитования для физических лиц.,"[""telegram:markettwits""]",телекоммуникации,,1,0,0.0,не растиражирована
E0072,1,💜 Банковская дочка Wildberries запустила выдачу потребительских кредитовВБ-банк запустил выдачу потребительских кредитов для физлиц на сумму от 30 тысяч до 500 тысяч рублей сроком от 24 до 60 месяцев.,"[""telegram:frank_media""]",экономика,,1,0,0.0,не растиражирована
E0073,1,"🇷🇺🤖Власти передумали запрещать в России иностранные нейросети ✍️Суверенные или национальные большие языковые модели (LLM), разработанные в России, не планируется в обязательном порядке внедрять во все информационные системы, работающие в стране.","[""telegram:vestifinance_ru""]",политика,,1,0,0.0,не растиражирована
E0074,1,#открытие_рф🇷🇺 Российский рынок акций открыл основную сессию в минусе.,"[""telegram:selfinvestor""]",экономика,,1,0,0.0,не растиражирована
E0075,1,"🧱🧱🧱🧱 Кризис в угольной отрасли, продолжающийся как минимум с середины 2024 года, не затронул Хакасию, один из крупнейших добывающих регионов России, в полной мере.","[""telegram:rbc_news""]",нефтегаз,,1,0,0.0,не растиражирована
E0076,2,"Рубль утром немного опускается в паре с юанем на фоне дешевеющей нефтиПо итогам первой минуты торгов курс юаня составил 10,8175 руб.","[""m.interfax.ru"", ""telegram:interfaxonline""]",нефтегаз,,2,1,31.55,низкая
E0077,1,"Сможет ли энергозависимая Европа «соскочить» с американского СПГПытаясь выбраться из зависимости от российского газа, Европа попала в еще более жесткую зависимость от американского СПГ(читать далее) 👉 pfs.","[""telegram:marketsnapshot""]",нефтегаз,,1,0,0.0,не растиражирована
E0078,1,"Инвестплатформа Rounds закрывается, Wildberries передумал идти в гейминг, 1 млн евро в агротех-проект OneSoil, законопроект об ИИ заметно похудел🦄 Доброе утро, наши маленькие любители единорогов!","[""telegram:theedinorogblog""]",потребительский сектор,,1,0,0.0,не растиражирована
E0079,1,"Самолёты малой авиации в России стали заправлять бензином для автомобилей, потому что авиационное топливо дорожает.","[""telegram:bankrollo""]",нефтегаз,,1,0,0.0,не растиражирована
E0080,1,"Около четверти ломбардов могут закрыться в этом году, пишут «Известия».","[""telegram:banksta""]",экономика,,1,0,0.0,не растиражирована
E0081,1,✴️🇵🇭#rwa #филиппины #крипто Финрегулятор Филиппин объявил о готовности страны к токенизации реальных активов (RWA),"[""telegram:markettwits""]",экология,,1,0,0.0,не растиражирована
E0082,2,"⚠️🇷🇺#акции #россия IMOEX очень не хочет опускаться ниже 2400, но ""Дух Эвиана"" может помешать — источники","[""telegram:markettwits""]",нефтегаз,,1,0,0.0,не растиражирована
E0083,1,"💥🇨🇳#ии #акции #китай Июнь стал месяцем ралли китайских ии-акций ранее власти объявляли, что Китай значительно увеличит финансовую поддержку для стимулирования развития и потребления/использования ИИ в стране","[""telegram:markettwits""]",экономика,,1,0,0.0,не растиражирована
E0084,1,⚠️🇷🇺#акции #россия IMOEX < 2400,"[""telegram:markettwits""]",политика,,1,0,0.0,не растиражирована
E0085,1,"Более чем в половине российских регионов уже действуют ограничения на наем иностранных работников, которые получили патент, в отдельных отраслях.","[""telegram:rbc_news""]",промышленность,,1,0,0.0,не растиражирована
E0086,1,"Японская Itoham приобретает новозеландскую Greenlea Group за $657 млнСделка с Greenlea, четвёртым по величине экспортером говядины в Новой Зеландии, предусматривает объединение двух заводов по переработке говядины в новозеландском регионе Уаикато.","[""telegram:mergers2023""]",сельское хозяйство,,1,0,0.0,не растиражирована
E0087,1,Японская Obayashi приобретает австралийского девелопера Multiplex за $540 млнЗавершение сделки ожидается в конце сентября 2026 года после получения одобрения со стороны регулирующих органов.,"[""telegram:mergers2023""]",недвижимость,,1,0,0.0,не растиражирована
E0088,2,Южуралзолото продано за 93 млрд руб.,"[""akm.ru"", ""telegram:mergers2023""]",потребительский сектор,,2,1,31.55,низкая
E0089,1,"Morgan Stanley и Temasek рассчитывают на прибыль в рамках IPO индийской NSEВ число ключевых спонсоров NSE входят Morgan Stanley, Temasek Holdings Pte и State Bank of India (SBI), которые могут продать около 6% акций.","[""telegram:mergers2023""]",промышленность,,1,0,0.0,не растиражирована
E0090,2,"⏺Индекс российских гособлигаций RGBI впервые за 4 месяца упал ниже 117 пунктов📊 На минимуме индикатор терял 0,61%, до 116,52 пункта.","[""telegram:selfinvestor""]",экономика,,1,0,0.0,не растиражирована
E0091,1,РЫНОК ЖИЛОЙ НЕДВИЖИМОСТИ В МОСКВЕ: ГРЯДУТ НОВЫЕ ВВОДНЫЕ ПО СЕМЕЙНОЙ ИПОТЕКЕПо данным Росреестра количество зарегистрированных сделок с жильём в Москве на первичном рынке составило в мае 3 593 (-28.,"[""telegram:russianmacro""]",недвижимость,,1,0,0.0,не растиражирована
E0092,1,❗️🇷🇺#ZAYM #дивиденд акционеры ЗАЙМЕР одобрили дивиденды 1кв 2026г 4.,"[""telegram:markettwits""]",недвижимость,,1,0,0.0,не растиражирована
E0093,1,"""Ozon"" показал чистую прибыль $0.","[""telegram:headlines_for_traders""]",нефтегаз,,1,0,0.0,не растиражирована
E0094,2,🔔 #alertSi (фьючерс на доллар/рубль): рост > 1% за последний час* фьючерс на Московской бирже,"[""telegram:headlines_for_traders""]",экономика,,1,0,0.0,не растиражирована
E0095,1,Российские инвесторы стали в 2.,"[""telegram:headlines_for_traders""]",нефтегаз,,1,0,0.0,не растиражирована
E0096,1,🌁 Белые ночи 2026: Конгресс двух столиц ⭐️ Почему сделки не случаются?,"[""telegram:mergersrussia""]",политика,,1,0,0.0,не растиражирована
E0097,1,"🇷🇺Российский рынок в понедельник с утра не в форме📉Индекс ММВБ пощупал уровни ниже 2400 пунктов, вроде не понравилось, отскочили.","[""telegram:vestifinance_ru""]",экономика,,1,0,0.0,не растиражирована
E0098,1,Рынок — это не графики и не новости.,"[""telegram:rbc_news""]",экономика,,1,0,0.0,не растиражирована
E0099,1,"➡️ Что происходит на рынкеСегодня, 22 июня🔵 Росимущество объявило АО «БТС-Мост Холдинг» победителем аукциона по продаже государственного пакета Южуралзолота.","[""telegram:gpb_investments""]",потребительский сектор,,1,0,0.0,не растиражирована
E0100,1,🪙 Альфа-банк стал лидером по объему выставленной на продажу просрочкиАльфа-банк выставил на продажу в рамках цессии просроченную задолженность на 62 млрд рублей за период с января по май 2026 года.,"[""telegram:frank_media""]",экономика,,1,0,0.0,не растиражирована
E0101,1,"🖥 Крупные российские разработчики создают систему защиты отечественного софта, чтобы уберечь компании при отзыве сертификатов для подписи программного кода западными удостоверяющими центрами.","[""telegram:frank_media""]",наука,,1,0,0.0,не растиражирована
E0102,1,"#ИтогиРазмещения💡ИЭК Холдинг, 001P-05Итоги первичного размещенияОбъём размещения: 2.","[""telegram:cbonds""]",недвижимость,,1,0,0.0,не растиражирована
E0103,1,Выдача кредитных карт в России продолжает восстанавливаться.,"[""telegram:mislinemisli""]",экономика,,1,0,0.0,не растиражирована
E0104,1,Доллар выше 74 рублей @banksta,"[""telegram:banksta""]",экономика,,1,0,0.0,не растиражирована
E0105,1,Сам ты инвестор!,"[""telegram:selfinvestor""]",экономика,,1,0,0.0,не растиражирована
E0106,1,🔔 HSI -0.,"[""telegram:headlines_for_traders""]",потребительский сектор,,1,0,0.0,не растиражирована
E0107,1,"🤔Конец дешёвых денег: почему старые портфельные правила больше не работают🇺🇸Сорок лет инвесторы жили в эпоху, которую сами не замечали.","[""telegram:vestifinance_ru""]",экономика,,1,0,0.0,не растиражирована
E0108,2,❗️ Премьер-министр Великобритании Кир Стармер объявил об отставке.,"[""telegram:kommersant"", ""telegram:rbc_news""]",политика,,2,1,31.55,низкая
E0109,1,#ПолитикаПРЕМЬЕР-МИНИСТР ВЕЛИКОБРИТАНИИ СТАРМЕР УХОДИТ В ОТСТАВКУДмитриев рад!,"[""telegram:cbrstocks""]",политика,,1,0,0.0,не растиражирована
E0110,1,"❗️В Амурской области жители не могут купить топливо, чтобы залить его в канистры, сообщает информационное агентство Amur.","[""telegram:bbbreaking""]",нефтегаз,,1,0,0.0,не растиражирована
E0111,2,Премьер-министр Великобритании Кир Стармер уходит в отставку.,"[""telegram:banksta"", ""telegram:headlines_for_traders""]",политика,,2,1,31.55,низкая
E0112,1,"#НовостиКомпаний📝 Российские компании: основные события, 22 июня:🏦 Совкомбанк страхование жизни запускает программу выкупа акций Совкомбанка на Мосбирже.","[""telegram:cbonds""]",экономика,,1,0,0.0,не растиражирована
E0113,1,⚡️ Премьер Великобритании Кир Стармер объявил о намерении уйти в отставку@interfaxonline,"[""telegram:interfaxonline""]",политика,,1,0,0.0,не растиражирована
E0114,1,"⚡️Кирилл Дмитриев так много ругал в Х британского Стармера, что тот подал в отставку 😂😂😂","[""telegram:mig41""]",промышленность,,1,0,0.0,не растиражирована
E0115,1,"#Премаркетинг 💸 Эконива, 001Р-03 (3 млрд)❗️Определена дата сбора заявок – 24 июня с 11:00 до 15:00 (мск).","[""telegram:cbonds""]",потребительский сектор,,1,0,0.0,не растиражирована
E0116,1,ФНС заблокировала все счета Белорецкого металлургического комбината* с образованием задолженности в ₽249.,"[""telegram:headlines_for_traders""]",металлургия,,1,0,0.0,не растиражирована
E0117,1,"⏺Курс доллара на рынке форекс впервые с начала июня превысил ₽74📊 По данным Investing, курс доллара к рублю на рынке форекс вырос на 1,76%, до ₽74,2841.","[""telegram:selfinvestor""]",экономика,,1,0,0.0,не растиражирована
E0118,1,"Индейка за несколько лет стала третьим по популярности мясом в России, рассказал в интервью Коммерсанту владелец «Дамате» Наум Бабаев.","[""telegram:bankrollo""]",сельское хозяйство,,1,0,0.0,не растиражирована
E0119,1,"Лидеры мирового бизнеса поддерживают ускоренный переход к электрификацииNestle, Uber и еще 112 компаний поддержали это заявление.","[""telegram:marketsnapshot""]",энергетика,,1,0,0.0,не растиражирована
E0120,1,"⚡ Главные события недели Макроэкономика и рубль 📐По нашим прогнозам, на текущей неделе курс рубля будет в интервале 10,5—11,0 руб/юань и 71—74 руб/долл.","[""telegram:t_analytics_official""]",экономика,,1,0,0.0,не растиражирована
E0121,1,🇷🇺#BELU НКР подтвердило кредитный рейтинг Novabev Group на уровне AA.,"[""telegram:markettwits""]",недвижимость,,1,0,0.0,не растиражирована
E0122,1,"🇷🇺#fx #россия #today Рубль перешел к укреплению после того, как все подумали, что он перешел к ослаблению — мониторинг","[""telegram:markettwits""]",нефтегаз,,1,0,0.0,не растиражирована
E0123,1,❗️🇷🇺#MOEX #дивиденд ГОСА Мосбиржи не состоялось из-за отсутствия кворума,"[""telegram:markettwits""]",строительство,,1,0,0.0,не растиражирована
E0124,1,⭐️Билайн Big Data & AI представила модель скоринга для защиты от бонусхантеров😉 Билайн Big Data & AI разработал специализированную скоринговую модель для управления бонусной политикой букмекерской онлайн-платформы.,"[""telegram:frank_media""]",телекоммуникации,,1,0,0.0,не растиражирована
E0125,1,"🗞🗞🗞🗞 По итогам года выпуск пиломатериалов может снизиться минимум на 2–4%, рассчитали в Strategy Partners.","[""telegram:kommersant""]",промышленность,,1,0,0.0,не растиражирована
E0126,1,На АЗС в Амурской области перестали заливать бензин в канистры.,"[""telegram:kommersant""]",нефтегаз,,1,0,0.0,не растиражирована
E0127,2,"🇷🇺Годовое собрание акционеров ПАО Мосбиржа не состоялось из-за отсутствия кворума❌ГОСА ""Московской биржи"" в понедельник не состоялось из-за отсутствия кворума.","[""telegram:interfaxonline"", ""telegram:vestifinance_ru""]",политика,,2,1,31.55,низкая
E0128,2,"❗️Центробанк отказал Сбербанку, Альфа-Банку и Т-Банку в создании собственной платежной системы, сообщает РБК со ссылкой на источники.","[""telegram:bankrollo"", ""telegram:bbbreaking""]",экономика,,2,1,31.55,низкая
E0129,1,"#Премаркетинг💰 СФО СБ Секьюритизация 5, АС (до 28 млрд)Сбор заявок – с 23 июня до 13 июля 15:00 (мск), размещение – 14 июля.","[""telegram:cbonds""]",экономика,,1,0,0.0,не растиражирована
E0130,1,🥇 Южуралзолото: новое начало?,"[""telegram:gpb_investments""]",наука,,1,0,0.0,не растиражирована
E0131,1,✴️🇬🇧#крипто #регулирование #британия Банк Англии смягчил регулирование стейблкоинов,"[""telegram:markettwits""]",телекоммуникации,,1,0,0.0,не растиражирована
E0132,1,🇺🇸#отчетности #сшаОтчетности в США на этой неделе,"[""telegram:markettwits""]",политика,,1,0,0.0,не растиражирована
E0133,1,🇷🇺#торги #россия С 14 июля 2026 года Московская биржа увеличивает время торгов на срочном рынкеподробнее,"[""telegram:markettwits""]",экономика,,1,0,0.0,не растиражирована
E0134,1,"Самолёт пробил новое дно, акции крупнейшего застройщика России сегодня теряют 8%.","[""telegram:bankrollo""]",транспорт,,1,0,0.0,не растиражирована
E0135,1,Российский интернет завален рекламой паспортов Евросоюза и других стран.,"[""telegram:banksta""]",телекоммуникации,,1,0,0.0,не растиражирована
E0136,1,Малофеев против MAX 👉 https://t.,"[""telegram:usertrader3""]",телекоммуникации,,1,0,0.0,не растиражирована
E0137,1,"WB Банк вышел на рынок потребительского кредитования, сообщил ТАСС председатель правления кредитной организации Георгий Горшков.","[""telegram:bbbreaking""]",потребительский сектор,,1,0,0.0,не растиражирована
E0138,2,"🛢 Маркетплейсы по рекомендации ФАС блокируют объявления о продаже топлива для предотвращения спекуляцийВ частности, на ""Авито"" скрыли объявления о торговле топливом на время доработки правил в этой категории.","[""m.interfax.ru"", ""telegram:interfaxonline""]",нефтегаз,,2,1,31.55,низкая
E0139,6,"Федеральная антимонопольная служба (ФАС) РФ и цифровые платформы, такие как ""Авито"", Ozon и Wildberries, взаимодействуют для предотвращения спекулятивных перепродаж топлива, сообщило ведомство.","[""1prime.ru"", ""akm.ru"", ""energyland.info"", ""pnp.ru"", ""telegram:kommersant"", ""vm.ru""]",нефтегаз,,6,5,81.55,средняя
E0140,1,"📅 #Календарь недели: 22-26 июня🔹 Понедельник, 22 июня— ДОМ.","[""telegram:omyinvestments""]",экономика,МТС,1,0,0.0,не растиражирована
